co_cli;cliente;ciudad;direccion_principal;direccion_temporal;latitud;longitud;corregida
301182642;DISTRIBUIDORA ATLANTIS C.A.;MARACAIBO;AV 3F ENTRE CALLES 58 Y 58A EDIF LA SUIZA PISO B PISO PB LOCAL PB SECTOR LAS MERCEDES DON BOSCO MARACAIBO EDO ZULIA;NULL;10.68526640;-71.60184521;NO
402574096;VENE CARS 66 C.A.;LA GUAIRA;AV BOULEVARD NAIGUATA EDIF VISTA HERMOSA PISO PB LOCAL NRO 1 URB CARIBE CARABALLEDA EDO VARGAS;NULL;10.61526345;-66.84247385;NO
412078488;CAUCHOS LIDO C.A.;LA GUAIRA;AV LA COSTANERA EDIF LIO PISO PB LOCAL NRO 10 URB PALMAR OESTE CARABALLEDA LA GUAIRA;NULL;10.61356326;-66.86016128;NO
8619335;ALMACENADORA LA GUAIRA C.A.;LA GUAIRA;AV PRINCIPAL PLAYA GRANDE EDIF ALMACENADORA LA GUAIRA PISO 1 OF 1 URB PLAYA GRANDE CATIA LA MAR EDO LA GUAIRA;NULL;10.60498644;-67.02809032;NO
302378079;ALMACENADORA MERCADUANA, C. A.;VALENCIA;CALLE S/N LOCAL PARCELA NRO 2 ZONA INDUSTRIAL LA ELVIRA PTO.CABELLO EDO. CARABOBO;NULL;10.60009710;-66.96716497;NO
2468971;ALMACENADORA MARALY, C.A.;LA GUAIRA;AV. SOUBLETTE LOCAL FRENTE AL BLOQUE 10 DE MARZO SECTOR CABO BLANCO MAIQUETIA - LA GUAIRA;NULL;10.59913276;-66.97317156;NO
501254877;INVERSIONES LUBRIBYAL C.A.;CARACAS;CALLE EL CRISTO ZONA INDUSTRIAL DE LOS MAGALLANES DE CATIA LOCAL CASA 2 ZONA SUCRE CARACAS DTTO CAPITAL;NULL;10.51583219;-66.94908747;NO
501590443;AUTOPARTES AVARY 21 C.A.;CARACAS;AVENIDA SUCRE DE CATIA CALLE EL NACIMIENTO LOCAL NRO 1-A URB LOS FRAILES CARACAS DTTO CAPITAL;NULL;10.51519826;-66.93587350;NO
404920846;TALLER Y LUBRICANTES GERZUGH 2014 C.A.;CARACAS;AV PPAL DE LOS FLORES DE CATIA LOCAL GALPON NRO E ZONA PARROQUIA SUCRE CARACAS DTTO FEDERAL;NULL;10.51392430;-66.93245908;NO
502714243;MULTISERVICIOS OROCARS 2020 C.A.;CARACAS;AV SUCRE DE CATIA EDF NAIGUATA PISO PB LOCAL B-4 SECTOR AGUA SALUD CARACAS DTTO CAPITAL;NULL;10.51344715;-66.92846745;NO
501652171;WAOO MOTORS SERVICES C.A.;CARACAS;CALLE LOPEZ MENDEZ CASA NRO 490 URB SAN BERNARDINO CARACAS DTTO CAPITAL;NULL;10.51327752;-66.89094746;NO
502502890;INVERSIONES TAPPIZ MOTTOS JUNIOR 3000 C.A.;CARACAS;AV SUCRE TINAJITAS A AGUA SALUD EDIF 118 PISO 2 LOCAL 8 SECTOR AGUA SALUD CATIA CARACAS DTTO CAPITAL;NULL;10.51255276;-66.92626123;NO
412332503;DISTRIBUIDORA PRO CARS, C.A.;CARACAS;AV. AUGUSTO CESAR SANDINO QTA KIANA URB MARIPEREZ CARACAS DISTRITO CAPITAL;NULL;10.51206705;-66.88552404;NO
311592024;AUTO SERVICIOS TECNO CLINIC C.A;CARACAS;AV.PPAL MARIPEREZ QTA.ENIX URB. MARIPEREZ CARACAS DTTO FEDERAL;NULL;10.51180247;-66.88565035;NO
407655507;OROZCO MOTORS GROUP 3000 C.A.;CARACAS;AV SUCRE LOCAL INMUEBLE 118 NRO 2 SECTOR TINAJITAS AGUA SALUD CARACAS DTTO CAPITAL;NULL;10.51165369;-66.92420204;NO
502627669;COMERCIAL ROQUE GALINDO C.A;CARACAS;CALLE REAL DE LOS FLORES DE CATIA CON 2DA. AVENIDA CASA NRO 14 URB.NUEVA CARACAS, CARACAS DTTO CAPITAL;NULL;10.51158911;-66.94305171;NO
502148280;ELECTROAUTO EL RINCON DEL TAXISTA C,A,;CARACAS;AV DIAGONAL A LA PLAZA DIEGO LOZADA CASA NRO 48 URB MONTE DE PIEDAD 23 DE ENERO CARACAS DTTO CAPITAL;NULL;10.51119702;-66.92750046;NO
412983458;TALLERES LEO 245 C.A.;CARACAS;AV EL CUARTEL URDANETA EST SERVIO BRASIL LOCALO NRO SN URB  NUEVA CARACAS CARACAS DTTO CAPITAL;NULL;10.51055361;-66.95036328;NO
408940434;MULTISERVICIOS SANAHUJA 3G C.A.;CARACAS;AVENIDA PRINCIPAL VEREDA 11 CASA NRO 1-A URB URDANETA, CATIA CARACAS DTTO CAPITAL;NULL;10.50863507;-66.95286836;NO
502069593;JEM CARS PARTS C.A.;CARACAS;CALLE BELLA VISTA LOCAL NRO 05-107 ZONA E, 23 DE ENERO CARACAS;NULL;10.50829031;-66.94002592;NO
