numero_pedido,fecha_pedido,fecha_vencimiento,monto_neto,codigo_cliente,nombre_cliente,direccion_cliente,ciudad_cliente,codigo_articulo,descripcion_articulo,cantidad_pedida,precio_unitario,prioridad
265,5/29/2025 8:29,6/5/2025 8:29,502.40,304042868,"AUTO BRANMAR, C.A.","AV.PEDRO RUSSO FERRER EDIF.AUTO BRANMAR PISO PB LOCAL GALPON HYUNDAI, SECTOR EL TAMNOR - LOS TEQUES EDO.MIRANDA",CARACAS,GMOA031R                      ,"MOBIL SUPER 3000 XE 5W30 API SN, ACEA A3/B4, MB 229-3 PORSCHE A40 ( CAJA 12X0.95 LT )","400,000","12,560,000",Alta
259,5/14/2025 14:22,6/13/2025 14:22,1345.50,302943116,DISTRIBUIDORA PRIME C.A.,CALLE 2DA CALLE LA INDUSTRIA LOCAL GALPON NRO. 54 ZONA INDUSTRIAL DE PALO VERDE CARACAS (PETARE) EDO MIRANDA,CARACAS,GMOD014R                      ,MOBIL ATF D/M DEXRON III H API ALLISON C-4 MERCON DEXRON IIIH  (PAILA 18.9 LT),"1,200,000","9,770,000",Alta
259,5/14/2025 14:22,6/13/2025 14:22,1345.50,302943116,DISTRIBUIDORA PRIME C.A.,CALLE 2DA CALLE LA INDUSTRIA LOCAL GALPON NRO. 54 ZONA INDUSTRIAL DE PALO VERDE CARACAS (PETARE) EDO MIRANDA,CARACAS,GMOD010R                      ,MOBILUBE HD 85W140 API GL-5  (CAJA 12X0.95 LT),"300,000","5,770,000",Alta
264,5/28/2025 8:57,6/17/2025 8:57,1035.00,405709979,INVERSIONES RMR 2015 C.A.,CRTRA EL JUNQUITO KM 21 EDIF REFUGIO ALPINO PISO PB LOCAL 8 SECTOR MONTE GRAPPA EL JUNKO VARGAS DTTO CAPITAL,CARACAS,GMOB027R                      ,MOBIL DELVAC LEGEND 1350 SAE 50  API CF / SF (GARRAFA 4X3.78 LT),"200,000","12,100,000",Alta
264,5/28/2025 8:57,6/17/2025 8:57,1035.00,405709979,INVERSIONES RMR 2015 C.A.,CRTRA EL JUNQUITO KM 21 EDIF REFUGIO ALPINO PISO PB LOCAL 8 SECTOR MONTE GRAPPA EL JUNKO VARGAS DTTO CAPITAL,CARACAS,GMOA031R                      ,"MOBIL SUPER 3000 XE 5W30 API SN, ACEA A3/B4, MB 229-3 PORSCHE A40 ( CAJA 12X0.95 LT )","200,000","15,700,000",Alta
264,5/28/2025 8:57,6/17/2025 8:57,1035.00,405709979,INVERSIONES RMR 2015 C.A.,CRTRA EL JUNQUITO KM 21 EDIF REFUGIO ALPINO PISO PB LOCAL 8 SECTOR MONTE GRAPPA EL JUNKO VARGAS DTTO CAPITAL,CARACAS,GMOA034R                      ,MOBIL SUPER 1000 20W50 API SN   ( GARRAFA 4X3.785 LT ),"200,000","13,000,000",Alta
264,5/28/2025 8:57,6/17/2025 8:57,1035.00,405709979,INVERSIONES RMR 2015 C.A.,CRTRA EL JUNQUITO KM 21 EDIF REFUGIO ALPINO PISO PB LOCAL 8 SECTOR MONTE GRAPPA EL JUNKO VARGAS DTTO CAPITAL,CARACAS,GMOA025R                      ,"MOBIL SUPER 2000 X1 10W40 API SN PLUS, ACEA A3/B3, MB 229.1 ( 12X0.95 LT)","100,000","11,500,000",Alta
264,5/28/2025 8:57,6/17/2025 8:57,1035.00,405709979,INVERSIONES RMR 2015 C.A.,CRTRA EL JUNQUITO KM 21 EDIF REFUGIO ALPINO PISO PB LOCAL 8 SECTOR MONTE GRAPPA EL JUNKO VARGAS DTTO CAPITAL,CARACAS,GMOA021R                      ,MOBIL SUPER 1000 20W50 API SN (CAJA 12X0.95 LT),"100,000","10,400,000",Alta
267,6/3/2025 13:20,6/18/2025 13:20,122.00,314023691,"ALIMENTOS GELATO E CAFEE, C.A.","CALLE LA PAZ, ESQUINA CALLE COMERCIO, CASA LA BALLESCA, LOCAL TERRAZA. EL HATILLO.",CARACAS,GMOA025R                      ,"MOBIL SUPER 2000 X1 10W40 API SN PLUS, ACEA A3/B3, MB 229.1 ( 12X0.95 LT)","100,000","12,200,000",Alta
268,6/3/2025 13:22,6/18/2025 13:22,104.00,314023691,"ALIMENTOS GELATO E CAFEE, C.A.","CALLE LA PAZ, ESQUINA CALLE COMERCIO, CASA LA BALLESCA, LOCAL TERRAZA. EL HATILLO.",CARACAS,GMOB019R                      ,"MOBIL DELVAC MODERN FULL PROTECTION 15W40 API CK-4, CJ4, CI4 PLUS, CI4, CH-4 SN ACE E7/E9  (CAJA 12X0.95 LT)","100,000","10,400,000",Alta
261,5/27/2025 8:03,6/26/2025 8:03,104.00,298179058,"INVERSIONES POLANCO 3000 C,A,",AV INTERCOMUNAL DE MACUTO EDIF DANYLUZ PISO PB LOCAL NUMERO 3 URB EL PLAYON MACUTO VARGAS EDO LA GUAIRA,VARGAS,GMOA021R                      ,MOBIL SUPER 1000 20W50 API SN (CAJA 12X0.95 LT),"100,000","10,400,000",Alta
262,5/28/2025 8:53,6/27/2025 8:53,446.00,404315535,INVERSIONES SOLCAR 29 C.A.,AV PRINCIPAL LOCAL NRO 44 URB PLAYA VERDE CATIA LA MAR EDO LA GUAIRA,LA GUAIRA,GMOA026R                      ,MOBIL SUPER 2000 10W30 API SP ILSAC GF-6A ( 12X0.95 LT),"200,000","10,800,000",Alta
262,5/28/2025 8:53,6/27/2025 8:53,446.00,404315535,INVERSIONES SOLCAR 29 C.A.,AV PRINCIPAL LOCAL NRO 44 URB PLAYA VERDE CATIA LA MAR EDO LA GUAIRA,LA GUAIRA,GMOA025R                      ,"MOBIL SUPER 2000 X1 10W40 API SN PLUS, ACEA A3/B3, MB 229.1 ( 12X0.95 LT)","200,000","11,500,000",Alta
263,5/28/2025 8:55,6/27/2025 8:55,527.00,1724443,AUTO SERVICIO CASTRO C.A.,CALLE PROLONGACION SOUBLETTE LOCAL NRO S/N URB SOUBLETTE CATIA LA MAR EDO LA GUAIRA,CATIA LA MAR,GMOA026R                      ,MOBIL SUPER 2000 10W30 API SP ILSAC GF-6A ( 12X0.95 LT),"100,000","10,800,000",Alta
263,5/28/2025 8:55,6/27/2025 8:55,527.00,1724443,AUTO SERVICIO CASTRO C.A.,CALLE PROLONGACION SOUBLETTE LOCAL NRO S/N URB SOUBLETTE CATIA LA MAR EDO LA GUAIRA,CATIA LA MAR,GMOA025R                      ,"MOBIL SUPER 2000 X1 10W40 API SN PLUS, ACEA A3/B3, MB 229.1 ( 12X0.95 LT)","100,000","11,500,000",Alta
263,5/28/2025 8:55,6/27/2025 8:55,527.00,1724443,AUTO SERVICIO CASTRO C.A.,CALLE PROLONGACION SOUBLETTE LOCAL NRO S/N URB SOUBLETTE CATIA LA MAR EDO LA GUAIRA,CATIA LA MAR,GMOA021R                      ,MOBIL SUPER 1000 20W50 API SN (CAJA 12X0.95 LT),"100,000","10,400,000",Alta
263,5/28/2025 8:55,6/27/2025 8:55,527.00,1724443,AUTO SERVICIO CASTRO C.A.,CALLE PROLONGACION SOUBLETTE LOCAL NRO S/N URB SOUBLETTE CATIA LA MAR EDO LA GUAIRA,CATIA LA MAR,GMOB019R                      ,"MOBIL DELVAC MODERN FULL PROTECTION 15W40 API CK-4, CJ4, CI4 PLUS, CI4, CH-4 SN ACE E7/E9  (CAJA 12X0.95 LT)","100,000","9,800,000",Alta
263,5/28/2025 8:55,6/27/2025 8:55,527.00,1724443,AUTO SERVICIO CASTRO C.A.,CALLE PROLONGACION SOUBLETTE LOCAL NRO S/N URB SOUBLETTE CATIA LA MAR EDO LA GUAIRA,CATIA LA MAR,GMOG003S                      ,MOBILGREASE XHP 222 COMPLEJO DE LITIO NLGI 2 DIN 51825-204-06-KP 2 N-20 (CART 10X0.39 KG),"100,000","10,200,000",Alta
266,5/29/2025 16:23,6/28/2025 16:23,5580.00,1280847,INVERSIONES RODIFRE C.A.,CARRETERA CAUCAGUA ARAGUITA LOCAL GALPON NRO 1 SECTOR LA PEICA CAUCAGUA EDO MIRANDA,CAUCAGUA,AVAS002S                      ,3-25 ARO-SELLO (O-RING),"200,000","2,800,000",Alta
266,5/29/2025 16:23,6/28/2025 16:23,5580.00,1280847,INVERSIONES RODIFRE C.A.,CARRETERA CAUCAGUA ARAGUITA LOCAL GALPON NRO 1 SECTOR LA PEICA CAUCAGUA EDO MIRANDA,CAUCAGUA,CTIS013R                      ,26.5R25 PR32 TUL302 TL E3/L3 TIANLI,"200,000","279,000,000",Alta
269,6/4/2025 14:57,7/4/2025 14:57,97.00,297746080,"INVERSIONES GEC, C.A.",CALLE EL COMERCIO EDIF RESIDENCIAS LA BALLESCA PISO PB LOCAL U URB. EL HATILLO - CARACAS,CARACAS,GHYA002R                      ,HYUNDAI XREER G800 ULTRA EFFICIENCY 5W20 API S ( CAJA 12X1 LT ),"100,000","9,700,000",Alta
284,6/25/2025 10:22,7/10/2025 10:22,2559.68,500449321,VIVA SUPERCENTRO C.A.,AV PRINCIPAL DE BOLEITA LOCAL NRO AUTOCENTRO URB BOLEITA CARACAS EDO MIRANDA,CARACAS,GMOA021R                      ,MOBIL SUPER 1000 20W50 API SN (CAJA 12X0.95 LT),"200,000","10,992,000",Alta
284,6/25/2025 10:22,7/10/2025 10:22,2559.68,500449321,VIVA SUPERCENTRO C.A.,AV PRINCIPAL DE BOLEITA LOCAL NRO AUTOCENTRO URB BOLEITA CARACAS EDO MIRANDA,CARACAS,GMOA025R                      ,"MOBIL SUPER 2000 X1 10W40 API SN PLUS, ACEA A3/B3, MB 229.1 ( 12X0.95 LT)","200,000","12,192,000",Alta
284,6/25/2025 10:22,7/10/2025 10:22,2559.68,500449321,VIVA SUPERCENTRO C.A.,AV PRINCIPAL DE BOLEITA LOCAL NRO AUTOCENTRO URB BOLEITA CARACAS EDO MIRANDA,CARACAS,GMOA034R                      ,MOBIL SUPER 1000 20W50 API SN   ( GARRAFA 4X3.785 LT ),"200,000","13,800,000",Alta
284,6/25/2025 10:22,7/10/2025 10:22,2559.68,500449321,VIVA SUPERCENTRO C.A.,AV PRINCIPAL DE BOLEITA LOCAL NRO AUTOCENTRO URB BOLEITA CARACAS EDO MIRANDA,CARACAS,GMOA028R                      ,"MOBIL SUPER MOTO 4T 20W50 API SL, JASO MA 2016, JASO MA2 2016 ( 12X1 LT)","200,000","10,896,000",Alta
284,6/25/2025 10:22,7/10/2025 10:22,2559.68,500449321,VIVA SUPERCENTRO C.A.,AV PRINCIPAL DE BOLEITA LOCAL NRO AUTOCENTRO URB BOLEITA CARACAS EDO MIRANDA,CARACAS,GMOG003S                      ,MOBILGREASE XHP 222 COMPLEJO DE LITIO NLGI 2 DIN 51825-204-06-KP 2 N-20 (CART 10X0.39 KG),"200,000","10,500,000",Alta
284,6/25/2025 10:22,7/10/2025 10:22,2559.68,500449321,VIVA SUPERCENTRO C.A.,AV PRINCIPAL DE BOLEITA LOCAL NRO AUTOCENTRO URB BOLEITA CARACAS EDO MIRANDA,CARACAS,GMOV004R                      ,MOBIL DELVAC EXTENDED LIFE REFRIGERANTE 50/50  (GARRAFA 4 x 3.785 LT),"200,000","9,700,000",Alta
284,6/25/2025 10:22,7/10/2025 10:22,2559.68,500449321,VIVA SUPERCENTRO C.A.,AV PRINCIPAL DE BOLEITA LOCAL NRO AUTOCENTRO URB BOLEITA CARACAS EDO MIRANDA,CARACAS,GVPA023R                      ,VP POWER SPORTS 4T SAE 20W50 API SM JASO MA/MA2  ( CAJA 12 X 0.95 LT),"200,000","11,496,000",Alta
284,6/25/2025 10:22,7/10/2025 10:22,2559.68,500449321,VIVA SUPERCENTRO C.A.,AV PRINCIPAL DE BOLEITA LOCAL NRO AUTOCENTRO URB BOLEITA CARACAS EDO MIRANDA,CARACAS,GVPA011R                      ,"VP STREET LEGAL FULL SYNTHETIC DEXOS1 FORMULA 0W20 API SP DEXOS 1 GEN 2, ILSAC GF-6A ( 12 X0.95 LT )","200,000","11,904,000",Alta
284,6/25/2025 10:22,7/10/2025 10:22,2559.68,500449321,VIVA SUPERCENTRO C.A.,AV PRINCIPAL DE BOLEITA LOCAL NRO AUTOCENTRO URB BOLEITA CARACAS EDO MIRANDA,CARACAS,GVPA003R                      ,"VP STREET LEGAL SYNTHETIC FORMULA 10W30 API SP, DEXOS 1 GEN 2, ILSAC GF-6A ( CAJA 12X0.95 LT )","200,000","9,804,000",Alta
284,6/25/2025 10:22,7/10/2025 10:22,2559.68,500449321,VIVA SUPERCENTRO C.A.,AV PRINCIPAL DE BOLEITA LOCAL NRO AUTOCENTRO URB BOLEITA CARACAS EDO MIRANDA,CARACAS,GMOD001R                      ,MOBIL ATF D/M DEXRON III H API ALLISON C-4 MERCON DEXRON IIIH  (12 X 0.95 LT),"200,000","10,800,000",Alta
284,6/25/2025 10:22,7/10/2025 10:22,2559.68,500449321,VIVA SUPERCENTRO C.A.,AV PRINCIPAL DE BOLEITA LOCAL NRO AUTOCENTRO URB BOLEITA CARACAS EDO MIRANDA,CARACAS,GMOA080R                      ,"MOBIL SUPER 2000 X1 10W40 API SN PLUS, ACEA A3/B3, MB 229.1 ( GARRAFA 4X3.785 LT )","200,000","15,900,000",Alta
272,6/13/2025 7:36,7/13/2025 7:36,9795.60,302943116,DISTRIBUIDORA PRIME C.A.,CALLE 2DA CALLE LA INDUSTRIA LOCAL GALPON NRO. 54 ZONA INDUSTRIAL DE PALO VERDE CARACAS (PETARE) EDO MIRANDA,CARACAS,GMOB024R                      ,MOBIL DELVAC LEGEND 1350 SAE 50  API CF / SF (PAILA 18.9 LT),"1,800,000","9,090,000",Alta
272,6/13/2025 7:36,7/13/2025 7:36,9795.60,302943116,DISTRIBUIDORA PRIME C.A.,CALLE 2DA CALLE LA INDUSTRIA LOCAL GALPON NRO. 54 ZONA INDUSTRIAL DE PALO VERDE CARACAS (PETARE) EDO MIRANDA,CARACAS,GMOB026R                      ,MOBIL DELVAC LEGEND 1350 SAE 50  API CF / SF ( TAMBOR 208.2 LT),"100,000","93,560,000",Alta
272,6/13/2025 7:36,7/13/2025 7:36,9795.60,302943116,DISTRIBUIDORA PRIME C.A.,CALLE 2DA CALLE LA INDUSTRIA LOCAL GALPON NRO. 54 ZONA INDUSTRIAL DE PALO VERDE CARACAS (PETARE) EDO MIRANDA,CARACAS,GMOA028R                      ,"MOBIL SUPER MOTO 4T 20W50 API SL, JASO MA 2016, JASO MA2 2016 ( 12X1 LT)","1,000,000","5,940,000",Alta
272,6/13/2025 7:36,7/13/2025 7:36,9795.60,302943116,DISTRIBUIDORA PRIME C.A.,CALLE 2DA CALLE LA INDUSTRIA LOCAL GALPON NRO. 54 ZONA INDUSTRIAL DE PALO VERDE CARACAS (PETARE) EDO MIRANDA,CARACAS,GMOA031R                      ,"MOBIL SUPER 3000 XE 5W30 API SN, ACEA A3/B4, MB 229-3 PORSCHE A40 ( CAJA 12X0.95 LT )","1,000,000","9,600,000",Alta
272,6/13/2025 7:36,7/13/2025 7:36,9795.60,302943116,DISTRIBUIDORA PRIME C.A.,CALLE 2DA CALLE LA INDUSTRIA LOCAL GALPON NRO. 54 ZONA INDUSTRIAL DE PALO VERDE CARACAS (PETARE) EDO MIRANDA,CARACAS,GMOA024R                      ,MOBIL SUPER 2000 5W20 API SP ILSAC GF-6A ( 12X0.95 LT),"1,000,000","6,950,000",Alta
272,6/13/2025 7:36,7/13/2025 7:36,9795.60,302943116,DISTRIBUIDORA PRIME C.A.,CALLE 2DA CALLE LA INDUSTRIA LOCAL GALPON NRO. 54 ZONA INDUSTRIAL DE PALO VERDE CARACAS (PETARE) EDO MIRANDA,CARACAS,GMOA025R                      ,"MOBIL SUPER 2000 X1 10W40 API SN PLUS, ACEA A3/B3, MB 229.1 ( 12X0.95 LT)","3,000,000","7,100,000",Alta
